Scientific Name,Common Name,Genus,Pretreatment,Germination Instructions,Progress Status,Sowing Date,Germination Date,Quantity,Notes,Image Link,Growth Rate,Mature Height,Mature Width,Foliage Description,Flower Info,Flowering Time,Soil Preference,Frost Tolerance,Drought Tolerance,Conservation Status,Conservation Locale
"Acacia mearnsii","Black Wattle","Acacia","Scarification (Hot Water)","Sow in standard raising mix. Keep warm and damp. Germination in 2\text{--}4\text{ weeks}.","Germinated","N/A","N/A","20 Seeds","Pioneer tree, extremely fast biomass grower.","https://apps.lucidcentral.org/wattle/images/entities/acacia_mearnsii/r0014574_3.jpg","Very Fast","6m - 15m","5m - 10m","Feathery bipinnate lush dark green fern leaves.","Soft pale cream fragrant globes.","Summer (Nov - Jan)","Adaptable, heavy moist loam clays","High (-8°C)","Moderate","Least Concern","SE Australia"
"Adansonia gregorii","Australian Baobab / Boab","Malvaceae","Scarification / Sanding","Sand seed coat lightly. Soak in warm water 24\text{ hours} until swollen. Sow deep. Germinates in 2\text{--}8\text{ weeks}.","Unstarted","N/A","N/A","10 Seeds","Sensational swollen desert bottle-trunk tree.","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Boab_tree_in_February%2C_Kimberley_region%2C_Western_Australia.jpg/250px-Boab_tree_in_February%2C_Kimberley_region%2C_Western_Australia.jpg","Slow","5m - 15m","6m - 15m trunk","Lush divided light-green deciduous leaves.","Huge fragrant white bells in wet season.","Summer (Nov - Feb)","Sands, alluvial river beds, rocky hills","Low (5°C)","Extremely High","Least Concern","WA / NT"
"Backhousia citriodora","Lemon Myrtle","Backhousia","None Required","Sow seed on surface. Press down lightly. Keep highly humid/warm. Germination in 3\text{--}8\text{ weeks}.","Unstarted","N/A","N/A","20 Seeds","Leaves contain the highest source of natural citral oil.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8ALdSXRuBSh-3mPYZOuPPjYMogpn_T1Wfdg&s","Moderate","3m - 8m","2.5m - 5m","Lush glossy green elliptic leaves.","Fluffy white stars.","Summer (Dec - Mar)","Rich deep moist rainforest soils, compost","Low (-2°C)","Moderate","Least Concern","QLD"
"Eucalyptus preissiana","Bell-fruited Mallee","Eucalyptus","None Required","Surface sow on fine sand mix. Water from bottom. Germinates in 2\text{--}4\text{ weeks}.","Germinated","N/A","N/A","1 packet","Large striking yellow flowers, bell-shaped seed pods.","https://www.kuranga.com.au/wp-content/uploads/2024/12/Eucalyptus-preissiana-scaled.jpg","Moderate","2m - 3m","2m - 4m","Stiff thick round olive green leaves.","Vibrant yellow puffballs, ribbed cups.","Winter (Jun - Aug)","Sandy clay gravel over limestone, coastal","Moderate (-4°C)","High","Least Concern","WA"
"Eucalyptus stricklandii","Strickland's Gum","Eucalyptus","None Required","Sow fine seed on sandy loam. Do not bury. Warm spot. Germinates in 2\text{--}4\text{ weeks}.","Germinated","N/A","N/A","1 packet","Large flat-topped golden wattle-yellow flower masses.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0JBmb_xk_MgKJGAv2GGOGRvBXBAd86IjYTQ&s","Moderate","4m - 11m","3m - 8m","Thick curved dull green leaves.","Densely packed lemon-yellow blossoms.","Summer (Dec - Feb)","Dry red clay gravels, inland stony soil","High (-6°C)","Extremely High","Least Concern","WA"
"Eucalyptus lehmannii","Bushy Yate","Eucalyptus","None Required","Surface sow on sandy peat mix. Keep humid. Germination in 2\text{--}4\text{ weeks}.","Planted","N/A","N/A","1 packet","Bud caps resemble long horn cluster claws.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzpc45k_7n7W8fJ0zSnBzsLTnS2WwajXfhkQ&s","Moderate","3m - 8m","4m - 8m","Dense round crown of light green leaves.","Huge yellowish-green clustered heads.","Spring (Aug - Nov)","Coastal sands, gravelly clay loams","Moderate (-5°C)","High","Least Concern","WA"
"Eucalyptus torquata","Coral Gum","Eucalyptus","None Required","Sow on fine raising mix. Warm position. Germinates in 2\text{--}4\text{ weeks}.","Germinated","N/A","N/A","1 packet","Highly decorative ribbed red flower buds.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIbtgTeSX9fgupSnX7eCVV1zwIxcEb0pETow&s","Fast","4m - 11m","3m - 7m","Narrow greyish olive-green lanceolate leaves.","Coral-pink to orange clusters in winter.","Winter (Jun - Oct)","Dry heavy clay loam, saline tolerant","High (-7°C)","Extremely High","Least Concern","WA"
"Eucalyptus platypus","Round-leaved Moort","Eucalyptus","None Required","Sow on sandy raising mix. Keep warm and damp. Germination in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Very dense crown, useful farm shelterbelt.","https://www.nativeshop.com.au/cdn/shop/files/Eucalyptusutilis_2_580x.jpg?v=1722916371","Moderate","3m - 9m","3m - 7m","Thick round shiny light-green leaves.","Greenish-yellow fluffy blossoms.","Spring (Sep - Dec)","Heavy clays, seasonally waterlogged","High (-6°C)","High","Least Concern","WA"
"Eucalyptus kingsmillii","Kingsmill's Mallee","Eucalyptus","None Required","Sow on surface, light covering of sand. Place warm. Germinates in 2\text{--}4\text{ weeks}.","Germinated","N/A","N/A","1 packet","Bud caps have 8 distinct structural ribs.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJoUZqADSFKvFMhssxrsV97Naw7Fta-0GCIA&s","Slow","1.5m - 5m","2m - 4m","Stiff grey-green lanceolate leaves.","Ribbed red/yellow buds bursting yellow tufts.","Winter (Jul - Sep)","Deep red desert sand, skeletal rocks","Moderate (-3°C)","Extremely High","Least Concern","WA"
"Eucalyptus kruseana","Bookleaf Mallee","Eucalyptus","None Required","Sow fine seeds on surface. Press lightly. Keep damp. Germinates in 2\text{--}4\text{ weeks}.","Germinated","N/A","N/A","1 packet","Extremely unusual stacked leaf layers.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8aT4KKsjTAMbhNC_YWvJhzZ-00fDL7ktJuw&s","Slow","2m - 4m","2m - 4m","Round stemless silvery leaves packed like books.","Greenish yellow clusters along branches.","Winter (Jun - Sep)","Gritty dry loam, granite crevices","High (-6°C)","Extremely High","Priority Four","WA"
"Melaleuca huegelii Pink fls","Pink Chenille Honeymyrtle","Melaleuca","None Required","Bog method. Surface sow on moist mix. Cover. Germinates in 2\text{--}5\text{ weeks}.","Germinated","N/A","N/A","1 packet","Showy chenille spikes of soft pink flowers.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0a0kuoqgAHffhWP7taGuJ3_-FM1_QPqftaw&s","Fast","2m - 5m","1.5m - 3m","Dense scale-like tiny dark green leaves.","Fluffy pink cylinder bottle-spikes.","Summer (Nov - Jan)","Coastal sands, limestone clays","High (-6°C)","High","Least Concern","WA"
"Eucalyptus diversifolia","Soap Mallee","Eucalyptus","None Required","Surface sow on fine sand mix. Keep damp. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Soap-scented leaves when crushed.","https://www.consultaplantas.com/images/phocagallery/eucalyptus_diversifolia/thumbs/phoca_thumb_l_eucalyptus_diversifolia_3.jpg","Moderate","2m - 6m","3m - 6m","Thick curved grey-green lanceolate leaves.","White to cream tuft blossoms.","Spring (Sep - Nov)","Coastal calcareous sand, coastal limestone cliffs","High (-6°C)","High","Least Concern","SA / VIC / WA"
"Melaleuca densa","Clustered Honeymyrtle","Melaleuca","None Required","Bog method. Surface sow, keep moist. Germinates in 2\text{--}4\text{ weeks}.","Germinated","N/A","N/A","1 packet","Dense matted shrub layer.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZsrDBM56eA5PA_D-W4dnXBFIo5V55gXucww&s","Moderate","1m - 3m","1m - 3m","Tiny oval scale leaves clustered on branches.","Cream-white terminal cylinders.","Spring (Sep - Nov)","Swampy clay, seasonal wet sand flats","High (-6°C)","Moderate","Least Concern","WA"
"Melaleuca glaberrima","Smooth Melaleuca","Melaleuca","None Required","Bog method. Keep warm and humid. Germinates in 2\text{--}4\text{ weeks}.","Germinated","N/A","N/A","1 packet","Highly elegant garden shrub.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Melaleuca_glaberrima_%28habit%29.JPG/250px-Melaleuca_glaberrima_%28habit%29.JPG","Moderate","1m - 2.5m","1m - 2m","Flat narrow linear leaves, smooth stems.","Dainty soft pink terminal pom-poms.","Spring (Sep - Nov)","Granitic sands, gravel over clay","High (-6°C)","High","Least Concern","WA"
"Melaleuca huegelii White fls","White Chenille Honeymyrtle","Melaleuca","None Required","Bog method. Surface sow on moist mix. Cover. Germinates in 2\text{--}5\text{ weeks}.","Germinated","N/A","N/A","1 packet","Spectacular white bottle-spikes.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRA5Zl8UT2-E13dr8XmAlxX9Ehv-JuYtKyH2g&s","Fast","2m - 5m","1.5m - 3m","Scale-like tiny dark green leaves.","Lush fluffy white cylinders.","Summer (Nov - Jan)","Coastal sands, limestone clays","High (-6°C)","High","Least Concern","WA"
"Eucalyptus crucis","Southern Cross Silver Mallee","Eucalyptus","None Required","Sow fine seeds on surface. Press lightly. Keep damp. Germinates in 2\text{--}4\text{ weeks}.","Germinated","N/A","N/A","1 packet","Striking weeping white stems.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0a5oBObhEmS2Axq8yJupxCm8KpQf_76tC5g&s","Moderate","2m - 6m","2m - 5m","Powdery intense silver-grey oval leaves.","Cream-white flowers in winter.","Winter (Jul - Sep)","Skeletal loam over granite, rocky outcrops","High (-7°C)","High","Vulnerable","WA"
"Allocasuarina humilis","Dwarf Sheoak","Allocasuarina","None Required","Sow in standard raising mix. Cover lightly. Place in warm spot. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Dainty shrub, distinct woody cones.","https://upload.wikimedia.org/wikipedia/commons/9/9d/Casuarina42895094852_70f8b290f0_o.jpg","Slow","0.5m - 2m","0.5m - 2m","Fine segmented dark green needles.","Red-tipped female tufts, yellow male sprays.","Winter (Jun - Aug)","Coastal grey sands, granite gravels","High (-8°C)","High","Least Concern","WA"
"Eucalyptus macrocarpa ssp. elachantha","Small-leaved Rose of the West","Eucalyptus","None Required","Sow on surface, light covering of sand. Warm (18\text{--}22^\circ\text{C}), sunny spot. Germinates in 2\text{--}4\text{ weeks}.","Planted","N/A","N/A","1 packet","Compact sub-species of macrocarpa.","https://apps.lucidcentral.org/euclid/images/entities/eucalyptus_macrocarpa_subsp._elachantha/macrocarpa_elachantha4.jpg","Moderate","1.5m - 4m","2m - 4m","Intensely silvery-white glaucous leaves, slightly smaller than ssp. macrocarpa.","Huge watermelon-rose blossoms up to 8cm wide.","Spring (Aug - Nov)","Deep gravelly sand plains, extremely well-drained","Moderate (-4°C)","High","Priority Four","WA"
"Eucalyptus conferruminata","Bald Island Marlock","Eucalyptus","None Required","Surface sow on sandy peat mix. Keep humid. Germination in 2\text{--}4\text{ weeks}.","Germinated","N/A","N/A","1 packet","Unusual flat fused seed-pod bundles.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxrGiOONNb0QuwxpGscmbFScbmK16mgNHbog&s","Fast","3m - 8m","4m - 8m","Dense glossy-green curved elliptic leaves.","Greenish-yellow pom-pom blossoms.","Spring (Sep - Nov)","Coastal limestone sand, skeletal granitic soils","Moderate (-4°C)","High","Least Concern","WA"
"Acacia victoriae","Bramble Wattle / Prickly Wattle","Acacia","Scarification (Hot Water)","Sow in standard free-draining sandy loam, cover seed depth. Place warm position. Germinates in 3\text{--}8\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Sturdy desert survival wattle with sharp paired spines.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnjZC23gCHeYGA-EPxWjRvvGNwGb1jy8ZEag&s","Slow to Moderate","2m - 5m","2m - 4m","Glaucous blue-green narrow foliage, heavily spiked base stems.","Fluffy pale yellow globular ball sprays.","Spring (Sep - Dec)","Alkaline sands, alluvial clay dunes","High (-8°C)","Extremely High","Least Concern","Inland Australia"
"Acacia pravissima","Ovens Wattle / Wedge-leaved Wattle","Acacia","Scarification (Hot Water)","Sow in well-drained native mix, cover lightly. Place warm spot. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Highly unique triangular wedge-shaped foliage, weeping habits.","https://apps.lucidcentral.org/wattle/images/entities/acacia_pravissima/dsc_21087_3.jpg","Fast","3m - 8m","3m - 6m","Deep-green, triangular, closely packed crowded phyllodes.","Abundant mass yellow spheres.","Spring (Aug - Oct)","Rich moist forest soils, clay loam","High (-10°C)","High","Least Concern","SE Australia"
"Acacia redolens","Vanilla Wattle (Low Form)","Acacia","Scarification (Hot Water)","Sow in sandy raising mix, keep warm. Cover lightly. Germination in 3\text{--}6\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Sensational groundcover variant smelling intensely of vanilla.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Acacia_redolens_1.jpg/250px-Acacia_redolens_1.jpg","Fast","0.5m - 1m","2m - 4m","Thick, leathery curved blue-green phyllodes close to soil.","Dense yellow spherical ball clusters.","Spring (Aug - Oct)","Heavy clays, sands, coastal saline soils","High (-7°C)","Extremely High","Least Concern","WA"
"Acacia uncinata","Weeping Wattle / Round-leaf Wattle","Acacia","Scarification (Hot Water)","Sow in sandy native loam, cover seed depth. Warm spot. Germinates in 3\text{--}6\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Graceful open weeping shrub with wavy rounded foliage.","https://apps.lucidcentral.org/wattle/images/entities/acacia_uncinata/dsc_3699_3.jpg","Moderate","1m - 3m","1m - 2.5m","Small asymmetrical round glaucous leaves with wavy borders.","Pale yellow-cream globes on delicate weeping ends.","Autumn (Mar - May)","Sandy clay, rocky sandstone ridges","High (-8°C)","High","Least Concern","NSW / QLD"
"Eucalyptus burracoppinensis","Burracoppin Mallee","Eucalyptus","None Required","Surface sow on fine sand-loam. Do not bury. Keep damp and warm. Germination in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Highly structural mallee, peeling bark, ribbed waxy buds.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3Ge7qvSS_p-mW8sfUrSiL5rmnkxu8m8ysZg&s","Moderate","2m - 6m","2m - 4m","Dull, light grey-green stiff lanceolate leaves.","Creamy-white fluffy blossoms from strongly ribbed cap pods.","Spring (Aug - Nov)","Dry gravelly sandplains, yellow sands","High (-6°C)","Extremely High","Least Concern","WA"
"Eucalyptus erythrocorys","Red-cap Gum / Illyarrie","Eucalyptus","None Required","Sow on surface, light covering of sand. Keep damp. Place warm spot (20^\circ\text{C}). Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Iconic species, fiery scarlet caps bursting yellow flowers.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTN2YKsELRrDscj_6Mi74Zzw6M6-oCcWH1v7w&s","Fast","3m - 8m","3m - 6m","Thick glossy dark green curved leaves, white smooth bark.","Massive bright yellow tufts from glowing red cap buds.","Autumn (Feb - Apr)","Coastal limestone sand, sandy gravels","Moderate (-3°C)","Extremely High","Least Concern","WA"
"Eucalyptus forrestiana","Fuchsia Gum","Eucalyptus","None Required","Sow fine seeds on surface. Press lightly. Keep humid and warm. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Exquisite hanging fuchsia-like scarlet bud wings.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZttZ_uWO7nqO6oJIR2hFAWVQctW4i3TWSrQ&s","Moderate","2.5m - 6m","2m - 4m","Thick, lanceolate glossy green leaves, grey smooth trunk.","Delicate yellow flowers coming from square scarlet hanging winged pods.","Summer (Nov - Jan)","Rich deep clay loam, adaptable","Moderate (-4°C)","High","Least Concern","WA"
"Eucalyptus pyriformis","Pear-fruited Mallee","Eucalyptus","None Required","Surface sow on fine sand mix. Keep damp. Place warm position. Germination in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Spectacular huge ribbed pear-shaped bud caps, massive pink blooms.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6u2aPwgyeQdQ7tAFJhsCQeZuRZOQ4kCLb-g&s","Moderate","1.5m - 4m","2m - 4m","Stiff, thick blue-grey ovate leaves, glaucous twigs.","Massive pink, deep red or cream-yellow tufted blossoms.","Winter (Jul - Oct)","Dry red sands, rocky sandstones","Moderate (-4°C)","High","Least Concern","WA"
"Eucalyptus youngiana","Large-fruited/Ooldea Mallee","Eucalyptus","None Required","Surface sow. Do not cover deeply. Place warm sunny spot. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Sensational yellow-green desert blooms, extremely large ribbed pods.

Both Red and yellow flowered variety","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQD7k4CSKjCdbI30JZXhnVTRMMAI-OdiX3kqg&s","Moderate","3m - 8m","3m - 5m","Thick, leathery grey-green lanceolate leaves.","Huge yellow-green or white blossoms.","Winter (Jul - Oct)","Arid red sand dunes, skeletal rock","High (-6°C)","Extremely High","Least Concern","SA / WA"
"Eucalyptus tetraptera","Four-winged Mallee / Square-fruited Mallee","Eucalyptus","None Required","Sow seeds on surface of sandy mix. Place warm position. Keep damp. Germinates in 3\text{--}6\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Bizarre square four-winged pods, massive leathery foliage.","https://static.wixstatic.com/media/36df30_cb36c516efd24717bd364ac861e4b054~mv2.jpg/v1/fill/w_480,h_412,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/36df30_cb36c516efd24717bd364ac861e4b054~mv2.jpg","Slow","1m - 3m","1.5m - 3m","Immense, highly thick leathery dark green glossy leaves.","Crimson or rich pink tufts from giant square pods.","Winter (Jun - Aug)","Coastal white sands, granitic gravel sands","Moderate (-3°C)","High","Least Concern","WA"
"Eucalyptus stoatei","Scarlet Pear Gum / Pear Gum","Eucalyptus","None Required","Surface sow on fine peat-sand. Warm spot. Do not bury. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Highly ornamental pear-shaped ribbed scarlet pods, yellow flowers.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSE8SMKmaPV8b2nJ59c2iBZIpEo0UnJKl99Iw&s","Moderate","2.5m - 6m","2m - 4m","Thick dark green glossy leaves, grey smooth trunk.","Bright yellow tufts from ribbed hanging scarlet pods.","Spring (Sep - Nov)","Granite sands, clay loams, adaptability","Moderate (-4°C)","High","Least Concern","WA"
"Eucalyptus erythronema","Red-flowered Mallee","Eucalyptus","None Required","Sow fine seeds on surface. Press down lightly. Keep damp. Germination in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","White powdery bark contrast, rich crimson blooms.","https://upload.wikimedia.org/wikipedia/commons/e/e8/EucstreettreeWA.jpg","Moderate","2m - 6m","2m - 4m","Narrow green lanceolate leaves, smooth powder trunk.","Vibrant bright red/crimson clusters.","Spring (Sep - Nov)","Heavy dry clays, gravelly wheatbelt loams","High (-8°C)","Extremely High","Least Concern","WA"
"Eucalyptus leucoxylon ssp. megalocarpa (red fls)","Red-flowered Yellow Gum","Eucalyptus","None Required","Surface sow on moist mix. Cover lightly sand. Warm position. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Showy red-flowering medium gum, highly adaptable.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTd8eCFHrD5CcQT2-DdrHjGNFwi5sLX8O1tGw&s","Fast","4m - 8m","4m - 6m","Dull blue-grey lanceolate leaves, mottled white bark.","Striking red/pink tufted masses.","Winter (Jun - Sep)","Heavy dry clay loam, limestone sands","High (-8°C)","High","Least Concern","SA / VIC"
"Eucalyptus dolichorhyncha","Fuchsia Gum Variant","Eucalyptus","None Required","Surface sow on standard seedling soil. Do not bury. Keep damp. Germination in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Bud caps have long beak-like extensions.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLarGcuk4hC9V7jt03l6wgySyPbcLQAYJgIw&s","Moderate","2m - 5m","2m - 4m","Lush glossy green lanceolate leaves, smooth bark.","Yellow tufted blooms from hanging red long-beaked buds.","Summer (Nov - Jan)","Sand/gravel plains over limestone","Moderate (-4°C)","High","Least Concern","WA"
"Acacia triptera","Spurwing Wattle","Acacia","Scarification (Hot Water)","Sow in sandy loam, light cover. Place in warm spot. Germinates in 3\text{--}6\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Intensely prickly protective spur-like foliage, dense barrier.","https://resources.austplants.com.au/wp-content/uploads/Acacia-triptera.jpg","Moderate","1m - 3m","1.5m - 3m","Curved, sharp spur-like green phyllodes hugging stem.","Bright yellow cylindrical rods.","Spring (Aug - Nov)","Ironstone sands, skeletal gravel clay loam","High (-8°C)","High","Least Concern","NSW / QLD / VIC"
"Eucalyptus cinerea","Silver Dollar Gum / Argyle Apple","Eucalyptus","None Required","Sow on surface. Light dust of sand. Keep warm and damp. Germination in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Sensational powdery-blue round leaves. Highly popular in floristry.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuaH0XEykXrSRw4QunsS8e4Bi_dK7oiLMx1Q&s","Fast","6m - 15m","4m - 8m","Powdery blue-grey perfectly round opposite leaves.","Small white tufts clustered along stems.","Spring (Oct - Dec)","Alluvial tableland clays, moist gravels","High (-10°C)","Moderate","Least Concern","NSW / VIC"
"Eucalyptus youngiana (Red Fls)","Red-flowered Ooldea Mallee","Eucalyptus","None Required","Sow fine seeds on surface. Press lightly. Keep damp. Place warm spot. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Red flower variant of youngiana, massive ribbed pods.","https://apps.lucidcentral.org/euclid/images/entities/eucalyptus_youngiana/youngiana5.jpg","Moderate","3m - 8m","3m - 5m","Thick, leathery, dull grey-green leaves.","Massive bright watermelon-red tufts.","Winter (Jul - Oct)","Dry skeletal red desert sand, dunes","High (-6°C)","Extremely High","Least Concern","SA / WA"
"Eucalyptus leucoxylon ssp. megalocarpa Yellow Cream","Yellow-flowered Yellow Gum","Eucalyptus","None Required","Surface sow on moist mix. Cover lightly. Keep warm. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Beautiful cream-yellow flowering medium tree.","https://www.australianplantsonline.com.au/media/catalog/product/i/l/illyarrie-redcap-gum-tree.jpg?optimize=medium&fit=bounds&height=350&width=350","Fast","4m - 8m","4m - 6m","Greenish-grey lanceolate foliage, smooth white trunk.","Pale cream-yellow fluffy blossoms.","Winter (Jun - Sep)","Alluvial plain gravel loam, clays","High (-8°C)","High","Least Concern","SA / VIC"
"Eucalyptus rhodantha","Rose Mallee","Eucalyptus","None Required","Sow on surface, light covering of sand. Warm (18\text{--}22^\circ\text{C}), sunny spot. Germinates in 3\text{--}6\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Highly rare/protected and spectacular heart-shaped silver leaves.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBZrC2fvgzU5j69WMnDnfvtgRTn4DpN6ESWg&s","Slow","1.5m - 4m","2m - 4m","Perfectly silver-blue heart-shaped leaves hugging stem.","Huge watermelon-red/rose tufts tipped gold.","Winter (Jul - Oct)","Gravelly yellow sand ridges, dry loam","Moderate (-4°C)","High","Vulnerable","WA"
"Eucalyptus erythronema var. marginata (Yellow Flowers)","Yellow-flowered Mallee","Eucalyptus","None Required","Sow fine seeds on surface. Do not bury. Keep warm. Germination in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Yellow flower variant, smooth white powdery bark.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzGvryeNvo-zYnTbn3fE8R1EDvw7ErZpGS4Q&s","Moderate","2m - 6m","2m - 4m","Narrow green lanceolate leaves.","Bright pale yellow-green fluffy blossoms.","Spring (Sep - Nov)","Heavy clay clays, gravelly wheatbelt loams","High (-8°C)","Extremely High","Least Concern","WA"
"Hakea multilineata","Grass-leaved Hakea","Hakea","None Required","Sow flat in sandy loam, cover seed depth. Germination in 3\text{--}8\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Stunning bright pink/red column-spikes, grass-like leaves.","https://anpsa.org.au/wp-content/uploads/Hakea-multilineata-flowers-2a.jpg","Moderate","3m - 6m","2m - 4m","Long parallel-veined grass-like grey-green leaves.","Densely packed long pink/red spikes.","Spring (Aug - Oct)","Granite soils, dry limestone loams","Moderate (-5°C)","High","Least Concern","WA"
"Alyogyne huegelii","Purple Hibiscus / Lilac Hibiscus","Malvaceae","Scarification (Warm Soak)","Pour warm water, soak 12\text{ hours}. Sow in well-drained loam. Germination in 2\text{--}5\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Stunning large satiny purple blooms. Rapid grower.","https://www.nativeshop.com.au/cdn/shop/files/Alyogynehuegelii_1_1024x1024@2x.jpg?v=1732756670","Fast","1.5m - 3m","1.5m - 2.5m","Lobed, crinkled deeply felted green leaves.","Large lilac-purple hibiscus-like flowers.","Spring (Sep - Nov)","Alkaline sands, coastal limestone clays","Moderate (-4°C)","High","Least Concern","WA / SA"
"Acacia notabilis","Notable Wattle / Mallee Golden Wattle","Acacia","Scarification (Hot Water)","Sow in standard raising mix. Keep warm and damp. Germination in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Very showy dense wattle, highly adaptive.","https://syzygium.xyz/saplants/Fabaceae/Acacia/Acacia_IMAGES/Acacia%20notabilis%20plant%20Eyre%20Peninsula_1076.jpg","Fast","1.5m - 3m","1.5m - 3m","Thick leathery blue-grey glaucous phyllodes.","Masses of bright gold yellow spheres.","Spring (Aug - Oct)","Dry sand sheets, alkaline calcareous plains","High (-8°C)","Extremely High","Least Concern","Inland Australia"
"Eucalyptus orbifolia","Round-leaved Mallee","Eucalyptus","None Required","Sow on surface, light covering of sand. Warm spot. Germinates in 2\text{--}4\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Bizarre round silver leaves, flaking red Minni Ritchi bark.","https://www.olelantanaseeds.com.au/wp-content/uploads/2019/06/orbifolia0-e1559457362959.jpg","Moderate","2m - 5m","2m - 4m","Perfect round grey-blue glaucous leaves.","Cream or pale yellow flower tufts.","Spring (Aug - Nov)","Skeletal sands over granite domes, drainage pristine","High (-6°C)","High","Least Concern","WA"
"Acacia applanata","Grass Wattle","Acacia","Scarification (Hot Water)","Sow in highly porous sand-gritty mix. Germinates in 3\text{--}6\text{ weeks}.","Unstarted","N/A","N/A","1 packet","Highly bizarre grass-like flat winged stems, yellow spheres.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3Fo6c2fDT9a4FHJLWvSYuBGFaCpZNL7QYbw&s","Fast","0.3m - 1m","0.5m - 1m","Flat, winged green stems mimicking grass blades.","Vibrant yellow spheres directly from stems.","Winter (Jul - Aug)","Moist laterite gravel, shaded sites","Moderate (-4°C)","Moderate","Least Concern","WA"
"Acacia imbricata","Imbricate Wattle","Acacia","Scarification (Hot Water)","Sow in warm native loam. Keep moist. Germination in 3\text{--}6\text{ weeks}.","Planted","N/A","N/A","1 packet","Overlapping tiny scaly leaves, scented yellow globes.","https://apps.lucidcentral.org/wattle/images/entities/acacia_imbricata/dsc_29076_3.jpg","Moderate","1m - 2.5m","1-2m","Tiny scale-like leaves packed overlapping along stems.","Dense yellow spherical ball sprays.","Winter (Jul - Sep)","Gravelly plains, calcareous clay sands","High (-6°C)","High","Least Concern","SA"
